@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
249235041,node,Dwarka Sector 12,28.5922515,77.0407464,stop,,,,stop_position
249235042,node,Dwarka Sector 13,28.5970250,77.0335556,stop,,,,stop_position
249235048,node,Dwarka (Blue Line),28.6149318,77.0227861,stop,,,,stop_position
249823531,node,Dwarka Sector 14,28.6022340,77.0259935,stop,,,,stop_position
249823552,node,Dwarka Mor,28.6192912,77.0332835,stop,,,,stop_position
249823558,node,Nawada,28.6202562,77.0450835,stop,,,,stop_position
249823566,node,Uttam Nagar West,28.6217367,77.0557191,stop,,,,stop_position
249823630,node,Rajouri Garden (Blue Line),28.6490372,77.1227430,stop,,,,stop_position
249823635,node,Ramesh Nagar,28.6527444,77.1316496,station,subway,,,station
251691532,node,NBCC Bus Stop,28.4948695,77.1515107,,,bus_stop,,platform
252584508,node,Anand Vihar,28.6498106,77.3144992,station,,,,station
266377985,node,Vasant Kunj Sector A,28.5114719,77.1666504,,,bus_stop,,platform
268217229,node,Patel Nagar,28.6450127,77.1692817,station,subway,,,station
268381455,node,Rithala,28.7208064,77.1071813,station,subway,,,station
268381457,node,Pratap Nagar,28.6667177,77.1988974,station,subway,,,station
268381463,node,Pul Bangash,28.6664068,77.2074156,station,subway,,,station
268381477,node,Kashmere Gate,28.6674493,77.2282488,station,subway,,,station
271335712,node,,28.4899689,77.1397693,,,bus_stop,,platform
271335922,node,Chhattarpur Metro Station,28.5078802,77.1757342,,,bus_stop,,platform
271335970,node,Ghitorni,28.4937282,77.1491983,stop,,,,stop_position
271335980,node,Arjan Garh,28.4807159,77.1257838,stop,,,,stop_position
277420405,node,,28.6291636,77.3172214,,,bus_stop,,
277420532,node,Fire Station Dallupura,28.6051030,77.3229238,,,bus_stop,,platform
277792585,node,,28.6201254,77.3209254,,,bus_stop,,
277793689,node,New Manglapuri,28.5013616,77.1665008,,,bus_stop,,platform
278163929,node,Lajpat Nagar,28.5649694,77.2427916,,,,,stop_position
311963955,node,Kohat Enclave,28.6980415,77.1405393,station,subway,,,station
315999030,node,Hyatt Hotel,28.5701755,77.1857192,,,bus_stop,,platform
316376861,node,Moti Bagh (Rao Tula Ram Marg),28.5778787,77.1741797,,,bus_stop,,platform
345195834,node,Narela,28.8464766,77.0856631,station,,,,station
345195839,node,Badli,28.7465404,77.1374615,halt,,,,halt
345195841,node,Holambi Kalan,28.8015786,77.1024832,station,,,,station
345199448,node,Khera Kalan,28.7696903,77.1158609,station,,,,station
345234440,node,Rajendra Place,28.6424765,77.1782794,stop,,,,stop_position
345234441,node,Karol Bagh,28.6440122,77.1885235,station,subway,,,station
345234443,node,Jhandewalan,28.6442998,77.1999053,stop,,,,stop_position
347676531,node,Kirti Nagar (Blue Line),28.6557460,77.1506635,station,subway,,,station
347676595,node,Shadipur,28.6515829,77.1582587,station,subway,,,station
347676947,node,Moti Nagar,28.6578590,77.1424288,station,subway,,,station
347677816,node,Tilak Nagar,28.6365265,77.0964820,stop,,,,stop_position
347685176,node,Uttam Nagar East,28.6248301,77.0652972,stop,,,,stop_position
347685192,node,Janakpuri West,28.6295652,77.0780939,stop,,,,stop_position
347688420,node,Dwarka Sector 11,28.5864620,77.0494551,stop,,,,stop_position
347688434,node,Dwarka Sector 10,28.5810731,77.0575146,stop,,,,stop_position
347688615,node,Dwarka Sector 9,28.5742819,77.0653509,stop,,,,stop_position
347688730,node,Dwarka Sector 8,28.5656075,77.0670615,stop,,,,stop_position
347688731,node,Dwarka Sector 21,28.5519860,77.0584649,stop,,,,stop_position
355435748,node,Sujan Singh Park,28.5992513,77.2284177,,,bus_stop,,platform
367259160,node,Okhla Extension,28.5465774,77.3068494,,,,,stop_position
395135114,node,New Delhi Railway Station Gate Number 2,28.6421531,77.2236285,,,,,stop_position
418813005,node,,28.5998546,77.0715009,,,bus_stop,,
485215790,node,Subash Nagar Crossing,28.6423723,77.1093533,,,,,stop_position
496457107,node,,28.6108671,77.2516076,,,,bus_station,
496457123,node,Indraprastha Depot,28.6201278,77.2488411,,,bus_stop,,platform
496457125,node,,28.6262307,77.2471136,,,bus_stop,,platform
496457144,node,Vijay Ghat,28.6576443,77.2447535,,,bus_stop,,platform
496457148,node,,28.6649507,77.2352542,,,bus_stop,,platform
496712234,node,Budh Pur GT Road,28.7816996,77.1410657,,,bus_stop,,
544371043,node,Khirki Village,28.5302569,77.2183932,,,bus_stop,,platform
554257755,node,Sultanpur,28.4989706,77.1609098,stop,,,,stop_position
554257763,node,Delhi Aerocity,28.5487786,77.1207949,station,subway,,,station
554257781,node,Chhatarpur,28.5067554,77.1749361,stop,,,,stop_position
554257785,node,Malviya Nagar,28.5290666,77.2048545,stop,,,,stop_position
554257787,node,Hauz Khas (Yellow Line),28.5442564,77.2067072,station,subway,,,station
554257789,node,Green Park,28.5580022,77.2068211,stop,,,,stop_position
554257793,node,Dilli Haat - INA,28.5741591,77.2093306,stop,,,,stop_position
554257797,node,Lok Kalyan Marg,28.5973548,77.2111269,stop,,,,stop_position
554257800,node,Seva Teerth,28.6095117,77.2118249,stop,,,,stop_position
554257805,node,Jor Bagh,28.5865942,77.2125637,stop,,,,stop_position
554257818,node,Patel Chowk,28.6229537,77.2140587,stop,,,,stop_position
554257820,node,Ramakrishna Ashram Marg,28.6392249,77.2085684,stop,,,,stop_position
554257824,node,Supreme Court,28.6234593,77.2425121,stop,,,,stop_position
554257827,node,Mandi House,28.6255914,77.2341954,stop,,,,stop_position
554257831,node,Indraprastha,28.6205832,77.2495452,,,,,stop_position
554257833,node,Shivaji Stadium,28.6288963,77.2113218,station,subway,,,station
554257839,node,Barakhambha Road,28.6297527,77.2249956,stop,,,,stop_position
554257841,node,New Delhi,28.6434826,77.2227421,station,subway,,,station
554257842,node,Chawri Bazaar,28.6492513,77.2265435,stop,,,,stop_position
554257844,node,Yamuna Bank,28.6231869,77.2677362,stop,,,,stop_position
554257854,node,Anand Vihar (Blue Line),28.6468919,77.3160530,stop,,,,stop_position
554257862,node,Chandni Chowk,28.6584207,77.2303660,stop,,,,stop_position
561300694,node,Civil Lines,28.6768572,77.2250565,stop,,,,stop_position
561316983,node,Tis Hazari,28.6671626,77.2166306,station,subway,,,station
562620239,node,Jawaharlal Nehru Stadium,28.5882486,77.2338082,,,,,stop_position
