@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
289582012,node,Necklace Road,17.4245107,78.4626514,stop,,,,stop_position
289582025,node,Khairatabad,17.4129744,78.4610582,station,,,,station
289582401,node,Necklace Road,17.4233355,78.4631857,station,,,,station
289656763,node,Hyderabad Deccan Nampally,17.3924223,78.4675956,station,,,,
307015337,node,Malakpet,17.3765035,78.4948263,station,,,,station
307015338,node,Malakpet,17.3758726,78.4947050,,,,,stop_position
307015360,node,Dabirpura,17.3661232,78.4904751,,,,,stop_position
307015407,node,Huppuguda,17.3413828,78.4825938,,,,,stop_position
307018576,node,NPA Shivaram Pally,17.3230489,78.4365670,halt,,,,halt
307023348,node,Kacheguda,17.3893110,78.4992403,station,,,,station
308586608,node,Jamai Osmania,17.4116226,78.5181614,halt,,,,halt
308586614,node,Arts College,17.4179770,78.5200383,halt,,,,halt
308586674,node,Lalaguda Gate,17.4408124,78.5247765,halt,,,,halt
308937020,node,Moula Ali,17.4407394,78.5506697,station,,,,station
308971546,node,Chhota Anjaiah Nagar,17.4473271,78.3634745,,,bus_stop,,platform
310444224,node,Dayanand Nagar,17.4560428,78.5315843,stop,,,,stop_position
310444240,node,Safilguda,17.4617993,78.5330311,stop,,,,stop_position
315063655,node,Domalguada Bus top,17.4102472,78.4865248,,,bus_stop,,platform
315069354,node,Bharath Nagar,17.4620962,78.4286626,stop,,,,stop_position
324858173,node,Tarnaka Bus Stop,17.4263175,78.5313258,,,bus_stop,bus_station,station
324859710,node,TGSRTC Hospital Bus Stop,17.4259908,78.5302396,,,bus_stop,,
324859997,node,Old Dairy Farm,17.4238103,78.5274645,,,bus_stop,,
324870018,node,NCC,17.4060326,78.5169959,,,bus_stop,,
324870393,node,Engineering College,17.4091039,78.5201029,,,bus_stop,,
324870748,node,Law College,17.4148776,78.5250554,,,bus_stop,,
324871124,node,Ladies Hostel,17.4118475,78.5218367,,,bus_stop,,
324871542,node,Arts College,17.4203646,78.5273470,,,bus_stop,,
343319245,node,Nature Cure Hospital,17.4456571,78.4521487,station,,,,station
343641073,node,Begumpet,17.4386951,78.4580969,station,,,,station
349017544,node,JNTU Bus Stop toward Hitech City,17.4957688,78.3948885,,,bus_stop,,platform
349177449,node,,17.4430816,78.4404626,,,bus_stop,,
349267769,node,Madhapur Petrol Pump,17.4411141,78.3914668,,,bus_stop,,platform
349267780,node,Madhapur Petrol Pump,17.4409650,78.3913097,,,bus_stop,,platform
350456697,node,,17.4929003,78.4022847,,,bus_stop,,platform
353027468,node,S.R.Nagar Bus Stop,17.4374277,78.4434490,,,bus_stop,,platform
354662996,node,,17.4364999,78.4440447,,,bus_stop,,platform
582824401,node,Sikh Village,17.4566000,78.4900888,,,bus_stop,,
582824402,node,Tarbund,17.4563170,78.4840993,,,bus_stop,,
582824403,node,Paradise,17.4451266,78.4871598,,,bus_stop,,
582824406,node,Bapuji Nagar Stop,17.4677226,78.4818498,,,bus_stop,,
582824407,node,Center Point,17.4642307,78.4844156,,,bus_stop,,platform
582824409,node,Wholesale Market,17.4693252,78.4948647,,,bus_stop,,platform
626897247,node,Dabirpura,17.3665277,78.4901244,halt,,,,halt
626897367,node,,17.3744556,78.4753984,,,bus_stop,,
626897410,node,Afzalgunj,17.3730067,78.4766562,,,,bus_station,station
626897415,node,Public Library,17.3738598,78.4779838,,,bus_stop,,
634123581,node,Ramnagar Cross Roads Bus Stop,17.4107475,78.5075901,,,bus_stop,,platform
634123955,node,Ramnagar Gundu Bus Stop,17.4077286,78.5120765,,,bus_stop,,
634132021,node,Vidyanagar,17.4018362,78.5108121,halt,,,,halt
655158856,node,Cyber Towers,17.4506750,78.3801434,,,bus_stop,,platform
655158870,node,Cyber Towers Bus Stop,17.4507134,78.3821189,,,bus_stop,,platform
655158946,node,V IT Park,17.4342977,78.3843417,,,bus_stop,,platform
655159062,node,V IT Park,17.4340492,78.3840991,,,bus_stop,,platform
655159152,node,Mindspace,17.4414196,78.3769845,,,bus_stop,,platform
660916026,node,,17.4318264,78.4068998,,,bus_stop,,platform
660916027,node,,17.4315449,78.4071305,,,bus_stop,,platform
660916060,node,L V Prasad,17.4235017,78.4276065,,,bus_stop,,platform
668646041,node,KPHB 3rd Phase Bus Stop,17.4879512,78.3953922,,,,bus_station,
675646786,node,VST Bus Stop,17.4048294,78.5022525,,,bus_stop,,
677300443,node,YMCA Bus Stop,17.3959051,78.4909681,,,bus_stop,,
682874256,node,Indira Park,17.4116181,78.4824323,,,bus_stop,,
703544296,node,HMT Bus stop,17.4244708,78.5472919,,,bus_stop,,
722273943,node,NIMS,17.4231252,78.4546595,,,bus_stop,,
726161087,node,Telephone Bhavan,17.4072432,78.4663365,,,bus_stop,,
726170683,node,Lakdikapul Bus Stop,17.4034111,78.4652115,,,bus_stop,,
727278310,node,Himayathnagar Bus stop,17.4022136,78.4836242,,,bus_stop,,
728331506,node,Birla Mandir,17.4046345,78.4676224,,,bus_stop,,
728919366,node,Latha Talkies,17.3903800,78.4686267,,,bus_stop,,
752496454,node,HMT,17.4234932,78.5465945,,,bus_stop,,
813570709,node,TV9 Bus Stop,17.4269784,78.4396869,,,bus_stop,,platform
817353604,node,,17.4351205,78.5142111,,,bus_stop,,platform
817354364,node,,17.4422852,78.4584347,,,bus_stop,,
817354374,node,Begumpet,17.4421395,78.4585964,,,bus_stop,,
817354391,node,,17.4439888,78.4612656,,,bus_stop,,
817354410,node,,17.4443551,78.4610365,,,bus_stop,,
817354457,node,Shoppers Stop,17.4448332,78.4656108,,,bus_stop,,
817354636,node,మెట్టుగుడ,17.4341040,78.5208810,,,bus_stop,,platform
817354660,node,,17.4278269,78.5292938,,,bus_stop,,
854940934,node,Diamond Point,17.4622124,78.4909058,,,bus_stop,,platform
854940937,node,Diamond Point,17.4624069,78.4911418,,,bus_stop,,platform
854960917,node,Patny Bus Stop,17.4430219,78.4945643,,,bus_stop,,platform
886161862,node,Hafeezpet,17.4823997,78.3630141,station,,,,station
886347465,node,Keyes High School,17.4388713,78.5047987,,,bus_stop,,platform
886347477,node,Airport Liner,17.4390044,78.5048952,,,bus_stop,,platform
893170355,node,James Street,17.4329515,78.4873218,station,,,,station
945061357,node,Kaman,17.4078610,78.4389668,,,bus_stop,,
945064796,node,Pension Office Bus Stop,17.4077258,78.4509789,,,bus_stop,,
973261734,node,,17.4996016,78.5373572,,,bus_stop,,
1038396446,node,Ranigunj,17.4303516,78.4879985,,,bus_stop,,
1050861850,node,,17.4652813,78.4726775,,,bus_stop,,
1118754390,node,Falaknuma,17.3326604,78.4751984,station,,,,station
1118754593,node,Jungametta (u/c),17.3353179,78.4683887,station,subway,,,
1118754600,node,Charminar (u/c),17.3619252,78.4799909,station,subway,,,
1118754617,node,Shamserganj (u/c),17.3408101,78.4683869,station,subway,,,station
1118754623,node,Shah Ali Banda (u/c),17.3507744,78.4723504,station,subway,,,station
1118754666,node,Falaknuma Terminal (u/c),17.3317141,78.4699981,station,subway,,,
1118754671,node,Salar Jung Museum (u/c),17.3717823,78.4822609,station,subway,,,
1118773825,node,JBS,17.4488218,78.4964407,,,,,stop_position
1142699496,node,Bowenpally,17.4651690,78.4729384,,,bus_stop,,
1142699538,node,Bowenpally,17.4631610,78.4725389,,,bus_stop,,
1142735841,node,Tarbund,17.4564424,78.4839007,,,bus_stop,,
1143062157,node,Bowenpally,17.4617293,78.4733842,,,bus_stop,,
1152749054,node,amberpet bus stop,17.3920701,78.5164734,,,bus_stop,,
1152749067,node,chey number stop,17.3915758,78.5123889,,,bus_stop,,
1215192975,node,Kothaguda,17.4594101,78.3659425,,,bus_stop,,platform
1215774387,node,,17.4641924,78.3667766,,,bus_stop,,platform
1215782332,node,DLF Bus stop near JNIB,17.4445422,78.3536778,,,bus_stop,,platform
1215788873,node,Chandanagar,17.4872976,78.3322142,station,,,,station
1224549888,node,Gachibowli,17.4395030,78.3635448,,,bus_stop,,platform
1224549897,node,Indra Nagar,17.4410460,78.3603475,,,bus_stop,,platform
1242172638,node,,17.4577190,78.3716207,,,bus_stop,,platform
1271924369,node,Fever Hospital,17.3955010,78.5024402,,,bus_stop,,
1306268401,node,Kanajiguda Bus Stop,17.4846693,78.4972634,,,bus_stop,,
1306272825,node,Teachers Colony,17.4814108,78.5023248,,,bus_stop,,
1306278399,node,Lal Bazar,17.4785608,78.5110259,,,bus_stop,,
1306278403,node,Lal Bazar,17.4791338,78.5107791,,,bus_stop,,
1306282907,node,Nirmal Nagar,17.4903783,78.5377761,,,bus_stop,,
1333764623,node,Shoppers Stop,17.4451251,78.4655312,,,bus_stop,,
1365115101,node,,17.4390017,78.3970577,,,bus_stop,,platform
1425916857,node,HITEC City,17.4698143,78.3853779,station,,,,station
