@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
30518361,node,Kharbhav,19.2983210,72.9844677,station,,,,station
213030669,node,Dahisar,19.2493572,72.8596302,station,,,,station
213030688,node,Malad,19.1868093,72.8487584,stop,,,,stop_position
213030694,node,Goregaon,19.1648571,72.8494067,stop,,,,stop_position
213030714,node,Santa Cruz,19.0815223,72.8417565,station,,,,station
245657999,node,,18.9784419,72.8140041,,,,,stop_position
246449135,node,Agarwadi Bus stop,19.0458454,72.9257478,,,bus_stop,,platform
246472067,node,BARC Gate 6,19.0421735,72.9329888,,,bus_stop,,platform
246582717,node,Thane,19.1864830,72.9757664,station,,,,station
246631903,node,Mankhurd,19.0481514,72.9319058,stop,,,,stop_position
316306549,node,Mumbai CSMT (Suburban),18.9406037,72.8350795,stop,,,,stop_position
317914119,node,Talao Pali,19.1943844,72.9769617,,,bus_stop,,platform
339078717,node,Kurla,19.0650734,72.8790797,stop,,,,stop_position
340363221,node,Thane Station (W),19.1870071,72.9769974,,,bus_stop,,platform
347138797,node,Khar Road,19.0682411,72.8400412,station,,,,station
353471603,node,Dadar (Central),19.0172069,72.8431748,stop,,,,stop_position
414595018,node,Shishu Gyan Mandir,19.1998001,72.9773091,,,bus_stop,,platform
414595059,node,Vandana Cinema,19.1944146,72.9704975,,,bus_stop,,platform
414603281,node,,19.2016800,72.9588321,,,bus_stop,,platform
414604709,node,Parmarth Niketan,19.1947397,72.9667376,,,bus_stop,,platform
414726600,node,R.T.O,19.1988874,72.9814267,,,,,platform
414727658,node,Holy Cross,19.2030565,72.9788027,,,bus_stop,,platform
414729200,node,Oswal Park,19.2149080,72.9761951,,,bus_stop,,platform
414730041,node,Khewra Circle,19.2327033,72.9699426,,,bus_stop,,platform
414730701,node,Patlipada,19.2466893,72.9756162,,,bus_stop,,platform
443526121,node,Neelkanth Heights,19.2210702,72.9606880,,,bus_stop,,platform
458918694,node,,18.9501583,72.7954921,,,bus_stop,,platform
469125309,node,Shimla,18.9580671,72.8025026,,,bus_stop,,
477673434,node,,18.9601090,72.8094026,,,bus_stop,,
496816492,node,,18.9150398,72.8182483,,,bus_stop,,platform
527987797,node,Grant Road,18.9632656,72.8159839,stop,,,,stop_position
527987828,node,Charni Road,18.9520361,72.8179252,stop,,,,stop_position
528074073,node,Grant Road,18.9628470,72.8159021,stop,,,,stop_position
528074116,node,Grant Road,18.9626624,72.8158860,stop,,,,stop_position
528079150,node,Charni Road,18.9527932,72.8168508,stop,,,,stop_position
528082473,node,Charni Road,18.9521256,72.8180070,stop,,,,stop_position
528082558,node,Charni Road,18.9520922,72.8179808,stop,,,,stop_position
528115484,node,Marine Lines,18.9465849,72.8230857,stop,,,,stop_position
528115491,node,Marine Lines,18.9465688,72.8230534,stop,,,,stop_position
528216004,node,Mumbai Central (local),18.9707096,72.8188347,stop,,,,stop_position
564878691,node,Gorai,19.2364095,72.8187174,,,,ferry_terminal,station
564906271,node,Manori Jetty,19.1991352,72.7928289,,,,ferry_terminal,station
582558271,node,Bandra Terminus,19.0605448,72.8409088,stop,,,,stop_position
593916996,node,Borivali,19.2336791,72.8233865,,,,ferry_terminal,station
605221328,node,V.B. Phadke Chowk,18.9423036,72.8295885,,,bus_stop,,platform
619252273,node,Mahim Junction,19.0407051,72.8466970,stop,,,,stop_position
619252274,node,Mahim Junction,19.0409046,72.8472050,stop,,,,stop_position
619290284,node,Sewri,18.9987319,72.8545630,stop,,,,stop_position
619290482,node,Dockyard Road,18.9664287,72.8442814,stop,,,,stop_position
619293646,node,Mumbai CSMT (Suburban),18.9406335,72.8353869,stop,,,,stop_position
619293660,node,Masjid,18.9518287,72.8382092,stop,,,,stop_position
619293667,node,Sandhurst Road,18.9618375,72.8393604,stop,,,,stop_position
619293686,node,Chinchpokli,18.9874068,72.8327477,stop,,,,stop_position
619992025,node,Kanjur Marg,19.1286526,72.9280394,station,,,,station
620002682,node,Vikhroli,19.1117831,72.9281186,stop,,,,stop_position
620013256,node,Vidyavihar,19.0795422,72.8971169,station,,,,station
620015554,node,Kurla,19.0653324,72.8788976,stop,,,,stop_position
621276256,node,Vile Parle,19.1000028,72.8439266,stop,,,,stop_position
621906366,node,Masjid,18.9518279,72.8380655,stop,,,,stop_position
621911847,node,Lower Parel,18.9956800,72.8302756,station,,,,station
621948374,node,Churchgate,18.9343947,72.8272055,stop,,,,stop_position
623431009,node,,18.9111715,72.8268470,,,,ferry_terminal,station
623881644,node,Andheri,19.1209139,72.8480322,stop,,,,stop_position
623881914,node,D. N. Nagar,19.1281782,72.8308125,stop,,,,stop_position
623881991,node,Versova,19.1302777,72.8213871,stop,,,,stop_position
623883811,node,Chakala - J.B. Nagar,19.1121886,72.8670010,stop,,,,stop_position
623884121,node,Saki Naka,19.1038458,72.8874199,stop,,,,stop_position
626537216,node,Vanrai,19.1542887,72.8571264,,,bus_stop,,platform
627733109,node,Essel World,19.2253824,72.8080979,,,,ferry_terminal,station
627734256,node,Marve Jetty,19.1995256,72.7983882,,,,ferry_terminal,station
630671870,node,Thane,19.1856924,72.9761105,stop,,,,stop_position
630673338,node,Thane,19.1863556,72.9759000,stop,,,,stop_position
630676214,node,Mulund,19.1724905,72.9569688,stop,,,,stop_position
631525227,node,Dadar (Central),19.0172817,72.8430625,stop,,,,stop_position
631525245,node,Dadar (Western),19.0189017,72.8429524,stop,,,,stop_position
631525247,node,Dadar,19.0190355,72.8428066,stop,,,,stop_position
631525335,node,,19.0281578,72.8467302,stop,,,,stop_position
631547822,node,Prabhadevi,19.0073669,72.8357556,stop,,,,stop_position
631579580,node,Grant Road,18.9633549,72.8158261,station,,,,station
632337506,node,Chembur,19.0612128,72.8975909,station,monorail,,,station
632340589,node,Bhakti Park,19.0289720,72.8775722,station,monorail,,,station
632342238,node,Wadala Depot,19.0388244,72.8740249,station,monorail,,,station
649015002,node,,19.1443609,72.8024797,,,,ferry_terminal,station
651265045,node,Chembur,19.0626076,72.9013796,stop,,,,stop_position
700736528,node,,18.9558676,72.8491974,,,,ferry_terminal,station
700736540,node,Bhaucha Dhakka / Ferry Wharf,18.9569402,72.8495292,,,,bus_station,station
700886180,node,Sewri,18.9987796,72.8544218,station,,,,station
700886403,node,Cotton Green,18.9871866,72.8438965,station,,,,station
702054142,node,Mira Road,19.2812755,72.8558410,,,,,stop_position
814439568,node,Gorai Ferry,19.2334883,72.8237820,,,,ferry_terminal,
814440777,node,Gorai Bus Depot,19.2323957,72.8296357,,,,bus_station,
870449150,node,Gateway of India - Mandwa Rewas Ferry Terminal,18.9229191,72.8345228,,,,ferry_terminal,station
870449764,node,Gateway of India - Elephanta Island ferry service,18.9217835,72.8347226,,,,ferry_terminal,station
969935158,node,Borivali  RS (East),19.2299554,72.8576319,,,,bus_station,
984976768,node,Peru Baug,19.1662452,72.8527827,,,bus_stop,,platform
984976772,node,Goregaon Check Naka 1,19.1664594,72.8564089,,,bus_stop,,platform
984976774,node,Goregoan Check Naka : 1,19.1654307,72.8586933,,,bus_stop,,
1027917064,node,Goodluck Company,19.2637737,72.9777787,,,bus_stop,,platform
1058313607,node,Deonar Bus Depot Stop,19.0455264,72.9106774,,,bus_stop,,
1058319040,node,Deonar Bus Depot,19.0458076,72.9117996,,,bus_stop,,
1078664390,node,Pradeep Society,19.1934946,72.9672874,,,bus_stop,,platform
1078664593,node,Aradhana Cinema,19.1927169,72.9683539,,,bus_stop,,platform
1101397910,node,"Bus #339 , 256",19.1127889,72.8382260,,,bus_stop,,platform
1182363540,node,Dhokali Naka,19.2271616,72.9802672,,,bus_stop,,platform
1184038446,node,Royal Palms,19.1584711,72.8789953,,,,,stop_position
1184122848,node,Makhamali Talaav,19.1984229,72.9717470,,,bus_stop,,platform
1184122902,node,Khopat S.T. Terminus,19.2007343,72.9733089,,,bus_stop,,platform
1184124335,node,Gaondevi,19.1888892,72.9748275,,,bus_stop,,platform
1233481359,node,Bandra,19.0547734,72.8407919,stop,,,,stop_position
1233481362,node,Bandra,19.0548350,72.8409588,stop,,,,stop_position
1233481375,node,Bandra,19.0547878,72.8408402,stop,,,,stop_position
1233481385,node,Bandra,19.0546445,72.8404627,stop,,,,stop_position
1233481390,node,Bandra,19.0546544,72.8404879,stop,,,,stop_position
1234805938,node,Mumbai CSMT (Suburban),18.9408204,72.8360170,stop,,,,stop_position
1234805948,node,Mumbai CSMT (Suburban),18.9408100,72.8359068,stop,,,,stop_position
1234815591,node,Mumbai CSMT,18.9408811,72.8362973,stop,,,,stop_position
1234815595,node,Mumbai CSMT,18.9417555,72.8367595,stop,,,,stop_position
1234815598,node,Mumbai CSMT,18.9408763,72.8361599,stop,,,,stop_position
1234815616,node,CSMT,18.9452282,72.8376755,stop,,,,stop_position
1234823928,node,Mumbai CSMT (Suburban),18.9406221,72.8352693,stop,,,,stop_position
1235720534,node,Dongaripada,19.2507342,72.9732294,,,bus_stop,,platform
1235720619,node,Waghbil Naka,19.2529390,72.9721617,,,bus_stop,,platform
1235755695,node,"Brahmand Phase 1,2",19.2412987,72.9813729,,,bus_stop,,platform
1235755737,node,Azad Nagar,19.2394741,72.9804978,,,bus_stop,,platform
1235755846,node,Brahmand Nagar,19.2475499,72.9860185,,,bus_stop,,platform
1236334975,node,Churchgate,18.9344455,72.8275534,stop,,,,stop_position
1236335031,node,Churchgate,18.9344286,72.8274374,stop,,,,stop_position
1236335056,node,Churchgate,18.9344117,72.8273215,stop,,,,stop_position
1236410131,node,Marine Lines,18.9466312,72.8231784,stop,,,,stop_position
1236410240,node,Marine Lines,18.9466502,72.8232164,stop,,,,stop_position
1345348620,node,Holy Spirit Hospital Stop,19.1269002,72.8672794,,,bus_stop,,platform
1348867392,node,Marol Depot,19.1179082,72.8657206,,,,bus_station,station
1365560118,node,Matunga Road,19.0281035,72.8468876,stop,,,,stop_position
1365560229,node,Mahim Junction,19.0407191,72.8467367,stop,,,,stop_position
1365560230,node,Mahim Junction,19.0407577,72.8468504,stop,,,,stop_position
1365560231,node,Mahim Junction,19.0407680,72.8468852,stop,,,,stop_position
1365560232,node,Mahim Junction,19.0408624,72.8470904,stop,,,,stop_position
1365570208,node,Dadar,19.0188344,72.8430459,stop,,,,stop_position
1365570210,node,Dadar,19.0188808,72.8429768,stop,,,,stop_position
1365570212,node,Dadar,19.0189777,72.8428185,stop,,,,stop_position
1365570240,node,Dadar (Western),19.0225262,72.8450755,stop,,,,stop_position
1366008911,node,Kurla East,19.0645019,72.8803229,,,,bus_station,station
1366054340,node,Vidyavihar,19.0794239,72.8973128,stop,,,,stop_position
1366794662,node,Trombay,19.0336510,72.9503637,,,,bus_station,station
1366794765,node,Mankhurd,19.0481208,72.9319176,stop,,,,stop_position
1366794875,node,shivagi nagar hospital,19.0511704,72.9226495,,,bus_stop,,
1366986900,node,Govandi,19.0549729,72.9157946,,,,,stop_position
1367093081,node,Chembur,19.0624700,72.9013038,stop,,,,stop_position
1367093210,node,Kurla,19.0648111,72.8793034,stop,,,,stop_position
1367093212,node,Kurla,19.0649266,72.8792339,stop,,,,stop_position
1367093215,node,Kurla,19.0649607,72.8791914,stop,,,,stop_position
1367093217,node,Kurla,19.0650410,72.8791094,stop,,,,stop_position
1367093225,node,Kurla,19.0652016,72.8790144,stop,,,,stop_position
1367093228,node,Kurla,19.0652271,72.8789820,stop,,,,stop_position
1392005679,node,Bandra Terminus,19.0629493,72.8415372,,,,bus_station,station
1396848873,node,,19.0434671,72.9218509,,,bus_stop,,platform
1396849450,node,,19.0438865,72.9215063,,,bus_stop,,
1416491625,node,Charkop Market,19.2156554,72.8286186,,,bus_stop,,
1416493622,node,Charkop Gaon,19.2088598,72.8208160,,,bus_stop,,
1416531583,node,Asmita Jyoti,19.1966762,72.8274867,,,bus_stop,,platform
1495198407,node,Plot no.1;jafri schoole,19.0676018,72.9210453,,,bus_stop,,
1514451610,node,Dandpada Bus Stop,19.0750577,72.8262477,,,bus_stop,,platform
1576580003,node,Parle Tilak,19.1033544,72.8484748,,,bus_stop,,platform
1576587727,node,Parleshwar Mandir,19.1030172,72.8459190,,,bus_stop,,platform
1576588136,node,Parleshwar Mandir,19.1028906,72.8456990,,,bus_stop,,platform
1576641974,node,Parle Tilak,19.1032759,72.8484399,,,bus_stop,,platform
1578048950,node,Guru Prasad Soc.,19.1035090,72.8501914,,,bus_stop,,platform
1578057492,node,Guru Prasad Soc.,19.1035446,72.8498454,,,bus_stop,,platform
1579248522,node,Hanuman Road,19.1036685,72.8513743,,,bus_stop,,platform
1579248546,node,Hanuman Road,19.1037320,72.8514467,,,bus_stop,,platform
1579322102,node,Hanuman Road,19.1037524,72.8528682,,,bus_stop,,platform
1579329389,node,Hanuman Road,19.1036864,72.8531418,,,bus_stop,,platform
1582079842,node,Rutu Estate / Municipal Commissioner House,19.2480867,72.9779885,,,bus_stop,,platform
1597607870,node,Khadi Bhandar,18.9366238,72.8339750,,,bus_stop,,platform
1640461450,node,Versova Jetty,19.1436311,72.8034266,,,,ferry_terminal,station
1640723543,node,Parsi Colony Juhu,19.0997323,72.8276303,,,bus_stop,,platform
1640942358,node,Wadala Depot,19.0147784,72.8523974,,,,bus_station,station
1641730250,node,Khardanda,19.0747178,72.8228706,,,bus_stop,,platform
1641769633,node,Sherli Gaon,19.0708221,72.8229438,,,bus_stop,,platform
1641769647,node,,19.0702925,72.8224470,,,bus_stop,,platform
1643263977,node,Mysore Colony,19.0277168,72.8914397,station,monorail,,,station
1643351679,node,Agarwadi Bus stop,19.0452697,72.9257952,,,bus_stop,,platform
1643351700,node,Mulund Depot,19.1756977,72.9464875,,,,bus_station,station
1643351703,node,Mulund,19.1721366,72.9566971,station,,,,station
1643352018,node,Mulund,19.1723697,72.9570846,stop,,,,stop_position
1643352020,node,Mulund,19.1724043,72.9570505,stop,,,,stop_position
1643352023,node,Mulund,19.1725170,72.9569289,stop,,,,stop_position
1643413992,node,Municipal School,19.2286267,72.9673600,,,bus_stop,,platform
1644086506,node,Ghatkopar Station (W),19.0875403,72.9081633,,,,bus_station,station
1646222635,node,gadakary bus stop,19.0158884,72.9077266,,,bus_stop,,platform
1646774124,node,Andheri,19.1189755,72.8471010,stop,,,,stop_position
1646774126,node,Andheri,19.1192749,72.8470336,stop,,,,stop_position
1646774128,node,Andheri,19.1192854,72.8469802,stop,,,,stop_position
1646774129,node,Andheri,19.1192914,72.8468450,stop,,,,stop_position
1646774130,node,Andheri,19.1192956,72.8467967,stop,,,,stop_position
1646774131,node,Andheri,19.1193178,72.8466577,stop,,,,stop_position
1646774132,node,Andheri,19.1193246,72.8465965,stop,,,,stop_position
1647049234,node,Civil Court,19.1965215,72.9772907,,,bus_stop,,platform
1647049257,node,Court Naka,19.1970281,72.9785836,,,bus_stop,,platform
1647133382,node,Thane,19.1858218,72.9760694,stop,,,,stop_position
1647133389,node,Thane,19.1858488,72.9760608,stop,,,,stop_position
1647133401,node,Thane,19.1859651,72.9760239,stop,,,,stop_position
1647133407,node,Thane,19.1859987,72.9760133,stop,,,,stop_position
1647133433,node,Thane,19.1861263,72.9759727,stop,,,,stop_position
1647133443,node,Thane,19.1861975,72.9759502,stop,,,,stop_position
1647133450,node,Thane,19.1863180,72.9759119,stop,,,,stop_position
1648175825,node,Samata Nagar,19.2068605,72.8697453,,,,bus_station,
1648195662,node,Sahar Cargo Complex,19.0975373,72.8652877,,,,bus_station,station
1648356959,node,,19.0528494,72.8712486,,,bus_stop,,platform
1650186261,node,Kandivali (E),19.2016957,72.8537297,,,,bus_station,
1650694464,node,King's Circle,19.0316822,72.8577375,station,,,,station
1651294887,node,bus,19.0467441,72.9077411,,,bus_stop,,
1651530905,node,,19.2816723,72.8580151,,,,bus_station,station
1651801044,node,Majas Depot,19.1389362,72.8647596,,,,bus_station,station
1665625633,node,Nahur Railway Station,19.1545592,72.9470530,,,bus_stop,,platform
1665625974,node,Civil Hospital,19.1990126,72.9774550,,,bus_stop,,platform
1833247047,node,MHB Colony,19.2304356,72.8384919,,,bus_stop,,
1843638495,node,,18.9261645,72.8208868,,,bus_stop,,platform
1855291431,node,Vartak Nagar Naka,19.2099716,72.9617643,,,bus_stop,,platform
1855295815,node,Devdaya Nagar,19.2147003,72.9582095,,,bus_stop,,platform
1890095497,node,Babhai Naka,19.2283360,72.8481310,,,bus_stop,,platform
1890096536,node,Vazira Naka,19.2289622,72.8448146,,,bus_stop,,platform
1890098782,node,Don Bosco School,19.2296100,72.8423560,,,bus_stop,,platform
1891004225,node,Rajendra Nagar,19.2209450,72.8564230,,,bus_stop,,platform
1891549308,node,Gundavali,19.1205310,72.8555970,,,bus_stop,,platform
1960733138,node,Vandana Cinema,19.1943679,72.9705943,,,bus_stop,,platform
1960733402,node,Louis Wadi,19.1962955,72.9623222,,,bus_stop,,platform
1960733505,node,Makhamali Talaav,19.1983438,72.9718265,,,bus_stop,,platform
1960733532,node,Nitin Junction,19.1990546,72.9635255,,,bus_stop,,platform
1960733580,node,R.T.O,19.1990495,72.9813945,,,,,platform
1960733585,node,Nitin Company,19.1991310,72.9631504,,,bus_stop,,platform
1960733587,node,Civil Hospital,19.1991279,72.9783895,,,bus_stop,,platform
1960733671,node,Khopat S.T. Terminus,19.2003766,72.9730775,,,bus_stop,,platform
1960733860,node,Khopat,19.2034255,72.9718687,,,bus_stop,,platform
1960734049,node,Abhiruchi,19.2048334,72.9780535,,,bus_stop,,platform
1960734104,node,Desai Bangla,19.2056112,72.9782706,,,bus_stop,,platform
1960734126,node,Rabodi Police Station,19.2059641,72.9822360,,,bus_stop,,platform
1960734581,node,Majiwada Naka,19.2146243,72.9774544,,,bus_stop,,platform
1960734585,node,Majiwada Naka,19.2151588,72.9781249,,,bus_stop,,platform
1960734604,node,Devdaya Nagar,19.2149044,72.9583943,,,bus_stop,,platform
1960734730,node,Subhash Nagar,19.2164315,72.9740037,,,bus_stop,,platform
1960734932,node,Bethany Hospital,19.2203638,72.9618162,,,bus_stop,,stop_position
1960734936,node,Jawahar Nagar,19.2204748,72.9702100,,,bus_stop,,platform
1960734940,node,Jawahar Nagar,19.2204093,72.9704216,,,bus_stop,,platform
1960735180,node,Yeoor Gaon,19.2252703,72.9497466,,,bus_stop,,platform
1960735183,node,Lok Puram,19.2257553,72.9701343,,,bus_stop,,platform
1960735560,node,Patli Pada,19.2464476,72.9759993,,,bus_stop,,platform
1984212605,node,Navy Nagar Colaba,18.9074266,72.8083029,,,bus_stop,,platform
2071437455,node,BEST Bus Stop,19.1349864,72.8103871,,,bus_stop,,platform
2081722937,node,H12,19.1355677,72.9055659,,,bus_stop,,platform
2125165404,node,Highland Park,19.1461072,72.8288843,,,,,platform
2125165405,node,Highland Park Bus Stop,19.1453296,72.8289055,,,bus_stop,,platform
2125201372,node,,19.1528727,72.8283289,,,bus_stop,,
2127352649,node,Elephanta Caves Jetty,18.9723961,72.9308682,,,,ferry_terminal,station
2128596704,node,Ramakrishna Mission Bus Stop,19.0751475,72.8342923,,,bus_stop,,platform
2128596706,node,Arya Samaj Mandir,19.0792439,72.8344425,,,bus_stop,,platform
2128596711,node,Linking Road Khar,19.0722176,72.8341466,,,bus_stop,,platform
2128599353,node,Shoppers Stop,19.0610627,72.8362964,,,bus_stop,,platform
2128607195,node,Mahim Church,19.0412534,72.8409951,,,bus_stop,,platform
2128607198,node,Mahim,19.0398372,72.8416791,,,bus_stop,,platform
2130331465,node,,19.1372926,72.8105645,,,bus_stop,,platform
2131087596,node,Juhu Versova Link Road,19.1219328,72.8257301,,,bus_stop,,platform
2131087597,node,Juhu Versova Link Road,19.1234006,72.8244339,,,bus_stop,,platform
2131087639,node,,19.1238299,72.8240313,,,bus_stop,,platform
2131095060,node,New DN Nagar,19.1185196,72.8287523,,,bus_stop,,platform
2131095070,node,Abhishek Society,19.1209933,72.8265373,,,bus_stop,,platform
2131134159,node,Juhu Circle,19.1155173,72.8300035,,,bus_stop,,platform
2146607971,node,Madh Market,19.1417056,72.7897647,,,bus_stop,,
2148660907,node,Gyan Kendra School,19.1323644,72.8255906,,,bus_stop,,platform
2148660916,node,Mhada,19.1339249,72.8255967,,,bus_stop,,platform
2163597903,node,Dadar (Central),19.0172196,72.8431541,stop,,,,stop_position
2166719753,node,Khadi Bhandar खादी भंडार,18.9374940,72.8340950,,,bus_stop,,platform
2166729327,node,Khadi Bhandar,18.9372990,72.8340120,,,bus_stop,,platform
2166732234,node,Khadi Bhandar,18.9361334,72.8336366,,,bus_stop,,platform
2166748624,node,Hutatma Chowk,18.9333070,72.8313770,,,bus_stop,,platform
2166749272,node,Hutatma Chowk,18.9337940,72.8312750,,,bus_stop,,platform
2166750103,node,Hutatma Chowk,18.9340170,72.8312480,,,bus_stop,,platform
2166751180,node,Hutatma Chowk,18.9344811,72.8311697,,,bus_stop,,platform
2166817451,node,Mumbai CSMT (Suburban),18.9406445,72.8355003,stop,,,,stop_position
2166817452,node,Mumbai CSMT (Suburban),18.9406128,72.8351737,stop,,,,stop_position
2166817453,node,Mumbai CSMT (Suburban),18.9406523,72.8355803,stop,,,,stop_position
2171398748,node,Pali Mala,19.0620676,72.8295332,,,bus_stop,,platform
2175658375,node,Mumbai CSMT,18.9408662,72.8364907,stop,,,,stop_position
2175658376,node,Mumbai CSMT,18.9408787,72.8363407,stop,,,,stop_position
2175658385,node,Mumbai CSMT,18.9417671,72.8366107,stop,,,,stop_position
2175658439,node,CSMT,18.9451809,72.8378650,stop,,,,stop_position
2175658440,node,CSMT,18.9451945,72.8378123,stop,,,,stop_position
2175658444,node,CSMT,18.9452855,72.8374542,stop,,,,stop_position
2175658446,node,CSMT,18.9453265,72.8373190,stop,,,,stop_position
2176850501,node,Masjid,18.9518303,72.8381797,stop,,,,stop_position
2178025599,node,Mumbai Central,18.9700757,72.8195845,stop,,,,stop_position
2178025600,node,Mumbai Central,18.9700768,72.8195436,stop,,,,stop_position
2178025601,node,Mumbai Central,18.9700908,72.8193557,stop,,,,stop_position
2178025602,node,Mumbai Central,18.9700910,72.8193067,stop,,,,stop_position
2178163576,node,Sandhurst Road,18.9609243,72.8393719,station,,,,station
2178163625,node,Sandhurst Road,18.9608485,72.8395868,stop,,,,stop_position
2178163626,node,Sandhurst Road,18.9608688,72.8395412,stop,,,,stop_position
2178254482,node,Byculla,18.9765515,72.8326776,stop,,,,stop_position
2178254483,node,Byculla,18.9765534,72.8328591,stop,,,,stop_position
2178269313,node,Mumbai Central (local),18.9706926,72.8190255,stop,,,,stop_position
2178269316,node,Mumbai Central (local),18.9707063,72.8188911,stop,,,,stop_position
2181459886,node,,19.1391763,72.8239507,,,bus_stop,,platform
2224887211,node,Mavis,19.2291897,72.9483531,,,bus_stop,,platform
2227587632,node,Runwal Garden City,19.2230235,72.9881937,,,bus_stop,,platform
2227589015,node,Yeoor,19.2401909,72.9432964,,,bus_stop,,platform
2228292225,node,Shreerang Society,19.2060688,72.9802970,,,bus_stop,,platform
2228292530,node,Gokul Nagar,19.2085126,72.9771727,,,bus_stop,,platform
2228292579,node,Gokul Nagar,19.2092674,72.9770306,,,,bicycle_parking,platform
2228293285,node,Oswal Park,19.2147383,72.9760757,,,bus_stop,,platform
2228429124,node,,19.2000104,72.9623884,,,bus_stop,,platform
2230881380,node,Namdev Wadi,19.1983321,72.9665078,,,bus_stop,,platform
2236784797,node,Uran,18.9145979,72.9277423,,,,ferry_terminal,station
2242576790,node,Shivaar garden,19.2888812,72.8652280,,,,,stop_position
