@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
250871658,node,MDI,28.4740653,77.0572176,,,bus_stop,,platform
266593729,node,MDI,28.4742372,77.0570497,,,bus_stop,,platform
271335327,node,M G Road,28.4795243,77.0798993,stop,,,,stop_position
271335545,node,Guru Dronacharya,28.4819976,77.1022720,stop,,,,stop_position
273281839,node,IFFCO Chowk,28.4782782,77.0690925,,,bus_stop,,platform
277793688,node,Sukhrali,28.4763883,77.0629162,,,bus_stop,,platform
413317779,node,IFFCO Chowk,28.4723308,77.0724516,stop,,,,stop_position
477905074,node,Maruti Kunj More Bus Stop,28.3611120,77.0605403,,,bus_stop,,
484649663,node,Kendriya Vihar Bus Stop,28.4248118,77.0948700,,,bus_stop,,platform
535297593,node,Sikanderpur,28.4812716,77.0930017,station,subway,,,station
922909980,node,Millennium City Centre Gurugram,28.4593314,77.0726864,stop,,,,stop_position
1646599506,node,Millennium City Centre Gurugram Metro Station,28.4597249,77.0738784,,,bus_stop,,platform
1774430929,node,Gurgaon,28.4890874,77.0111572,station,regular,,information,station
1811444172,node,Inchhapuri,28.3200927,76.7188545,station,,,,station
1988848864,node,Belvedere Towers,28.4917023,77.0881318,station,subway,,,stop_position
1988848882,node,DLF Phase 2,28.4875596,77.0929909,station,subway,,,station
1988848900,node,Sikanderpur RMRG Station,28.4809969,77.0944367,station,subway,,,station
2225581671,node,Gurgaon,28.4650125,77.0330992,,,,,stop_position
2296624568,node,,28.4444230,77.0374370,,,bus_stop,,platform
2297784994,node,,28.4063790,77.0432030,,,bus_stop,,platform
2410174120,node,Garhi Harsaru Junction,28.4382985,76.9307249,station,,,,station
2511127144,node,Cyber City,28.4980613,77.0891604,stop,,,,stop_position
2533456421,node,Moulsari Avenue Station,28.5007775,77.0946306,station,subway,,,stop_position
2533456422,node,Phase 3 Station,28.4935677,77.0936610,station,subway,,,stop_position
3181132316,node,Sector 54 Chowk,28.4329768,77.1048971,station,subway,,,station
3181132336,node,Sector 53-54,28.4463829,77.1004632,station,subway,,,station
3181132346,node,Sector 42-43,28.4574254,77.0969529,station,subway,,,station
3735982884,node,Sultanpur Kaliawas,28.4604562,76.8696750,halt,,,,halt
3735985541,node,Farrukhnagar,28.4672250,76.8253658,station,,,,station
3736001854,node,Palam Vihar,28.5164657,77.0339696,halt,,,,halt
3953773571,node,DLF Phase 1,28.4714258,77.0939606,station,subway,,,station
3953773598,node,Sector 55–56,28.4233556,77.1051327,station,subway,,,station
4212600960,node,Palam Vihar bus stop,28.5149894,77.0344564,,,bus_stop,,platform
4789904280,node,DLF Phase 1,28.4714259,77.0939371,stop,,,,stop_position
5698863055,node,Basai Dhankot,28.4645841,76.9828171,station,,,,station
5698863060,node,Pataudi Road,28.3478790,76.7522376,station,,,,station
5768476016,node,DLF Cyber City,28.4979218,77.0886929,,,bus_stop,,platform
5768476017,node,"M Block, DLF City Phase 2",28.4909180,77.0820383,,,bus_stop,,platform
5768476018,node,IFFCO Chowk,28.4790487,77.0708269,,,bus_stop,,platform
5777601797,node,Guru Dronacharya,28.4820507,77.1022640,stop,,,,stop_position
5777601807,node,Sikanderpur,28.4812957,77.0929927,stop,,,,stop_position
5777601815,node,M G Road,28.4795882,77.0798784,stop,,,,stop_position
5777601824,node,IFFCO Chowk,28.4723240,77.0723912,stop,,,,stop_position
5777602022,node,Millennium City Centre Gurugram,28.4593643,77.0726383,stop,,,,stop_position
6071161050,node,Stop No.222,28.4887922,77.0553820,,,bus_stop,,platform
6071161053,node,Sikanderpur Metro Station,28.4813386,77.0923940,,,bus_stop,,platform
6221553472,node,,28.4166202,77.0407961,,,bus_stop,,platform
6221553473,node,Subhash Chowk,28.4277156,77.0371069,,,bus_stop,,platform
6221553771,node,Malibu Town,28.4219079,77.0392456,,,bus_stop,,platform
6221553772,node,CD Chowk,28.4123958,77.0414941,,,bus_stop,,platform
6221554149,node,CD Chowk,28.4125773,77.0419837,,,bus_stop,,platform
6263258205,node,Khalilpur,28.2753229,76.6783583,station,,,,station
6321910004,node,Sector 42-43,28.4574292,77.0969755,stop,,,,stop_position
6388592702,node,Patli,28.4010774,76.8570790,station,,,,station
6388606320,node,Jataula Jauri Sampka,28.3728138,76.7994236,station,,,,station
6388609523,node,Tajnagar,28.3855640,76.8259249,halt,,,,halt
6547772094,node,Sikanderpur,28.4812437,77.0930074,stop,,,,stop_position
6547772095,node,Sikanderpur,28.4809994,77.0944203,stop,,,,stop_position
6911979904,node,Sikandarpur,28.4807009,77.1103329,,,bus_stop,,platform
6911979915,node,Shiv Nadar School,28.4637446,77.1021402,,,,,platform
6911979924,node,Kushboo Chowk,28.4684774,77.1088227,,,bus_stop,,platform
6911979929,node,Khushboo Chowk,28.4663341,77.1067005,,,bus_stop,,platform
6912102268,node,Aravali Biodiversity Park,28.4818155,77.1136661,,,bus_stop,,platform
7018301879,node,Guru Dronacharya,28.4820212,77.1022685,station,subway,,,station
7018301881,node,M G Road,28.4795543,77.0798926,station,subway,,,station
7018301882,node,IFFCO Chowk,28.4723277,77.0724222,station,subway,,,station
7018316590,node,Millennium City Centre Gurugram,28.4593429,77.0726571,station,subway,,,station
7131270005,node,Sikandarpur,28.4824296,77.1070381,,,,,platform
7131331963,node,"Sukhrali, Sector 17C",28.4750175,77.0594224,,,bus_stop,,platform
7131372271,node,ITI Colony/Old DLF,28.4698091,77.0461626,,,,,platform
7131372274,node,ITI Colony/Old DLF,28.4694367,77.0460453,,,,,platform
7131394590,node,IFFCO Chowk,28.4780132,77.0704796,,,bus_stop,,platform
7131394591,node,,28.4807013,77.0865850,,,bus_stop,,platform
7131394592,node,M G Road Metro Station,28.4796088,77.0792887,,,bus_stop,,platform
7141070969,node,"Sukhrali, Sector 17C",28.4752116,77.0592994,,,bus_stop,,platform
7141186237,node,ITI Colony,28.4696816,77.0459309,,,bus_stop,,platform
7141186238,node,"Government Girls College, Mehrauli-Gurgaon Road",28.4671351,77.0416850,,,bus_stop,,platform
7141186239,node,Patel Nagar,28.4657746,77.0391986,,,bus_stop,,platform
7141186254,node,Gurgaon Bus Stop,28.4655156,77.0329221,,,bus_stop,,platform
7141186255,node,Gurgaon,28.4654605,77.0331168,,,,,stop_position
7141186256,node,ITI Colony,28.4694709,77.0460772,,,bus_stop,,platform
7141186257,node,"Government Girls College, Mehrauli-Gurgaon Road",28.4669502,77.0418294,,,bus_stop,,platform
7141186258,node,Patel Nagar,28.4655641,77.0392943,,,bus_stop,,platform
7141186259,node,,28.4640035,77.0354407,,,bus_stop,,platform
7141186260,node,Gurgaon Bus Stop,28.4650465,77.0328696,,,bus_stop,,platform
7141186261,node,IFFCO Chowk,28.4774862,77.0700676,,,bus_stop,,platform
7141186262,node,M G Road Metro Station,28.4794579,77.0804652,,,bus_stop,,platform
7707870463,node,Gurgaon,28.4892073,77.0108995,stop,,,,stop_position
7707870464,node,Gurgaon,28.4891594,77.0109801,stop,,,,stop_position
8064593902,node,DLF Phase 1,28.4714278,77.0939848,stop,,,,stop_position
8064593903,node,DLF Phase 2,28.4875797,77.0930062,stop,,,,stop_position
8064593904,node,DLF Phase 2,28.4875413,77.0929722,stop,,,,stop_position
8064593905,node,Sikanderpur,28.4809937,77.0944544,stop,,,,stop_position
8064593906,node,Sector 42-43,28.4574227,77.0969288,stop,,,,stop_position
8064593907,node,Sector 53-54,28.4463871,77.1004853,stop,,,,stop_position
8064593908,node,Sector 53-54,28.4463789,77.1004409,stop,,,,stop_position
8064593909,node,Sector 54 Chowk,28.4329643,77.1048098,stop,,,,stop_position
8064593910,node,Sector 54 Chowk,28.4329740,77.1048551,stop,,,,stop_position
8064593911,node,Sector 55–56,28.4233013,77.1051377,stop,,,,stop_position
8064593912,node,Sector 55–56,28.4232989,77.1050893,stop,,,,stop_position
8393348400,node,Gurugram Railway Station,28.4854624,77.0086885,,,bus_stop,,platform
9706919851,node,Udyog Vihar,28.4917349,77.0819718,,,bus_stop,,platform
9714358892,node,,28.5087156,77.0935750,,,,,platform
9714358894,node,DLF Cyber City,28.4984434,77.0883206,,,bus_stop,,platform
9873576017,node,DLF Phase 1 Metro Station,28.4720487,77.0937129,,,bus_stop,,platform
10064542582,node,Sikanderpur Metro Station,28.4803345,77.0939011,,,bus_stop,,platform
10876163494,node,Sector 55/56,28.4288929,77.1054722,,,bus_stop,,platform
10876178729,node,Sector 55-56 Metro Station,28.4240097,77.1049899,,,bus_stop,,platform
10876178730,node,,28.4244619,77.1042627,,,bus_stop,,platform
10876178731,node,,28.4245292,77.1038711,,,bus_stop,,platform
10876191519,node,Sector 54 Chowk Metro Station,28.4325516,77.1053401,,,bus_stop,,platform
10876191520,node,Sector 54 Chowk Metro Station,28.4332994,77.1044258,,,bus_stop,,platform
10876201334,node,,28.4278869,77.1050499,,,bus_stop,,platform
10876213382,node,DLF Phase 1 Metro Station,28.4707632,77.0942336,,,bus_stop,,platform
10895365583,node,St Xaviers School,28.4058684,77.0566486,,,bus_stop,,platform
10895371698,node,Nirvana Country,28.4102815,77.0684926,,,bus_stop,,platform
10895372484,node,Sector 53/54 Metro Station,28.4453516,77.1003410,,,bus_stop,,platform
10895381520,node,Sector 53/54 Metro Station,28.4459171,77.1009132,,,bus_stop,,platform
10895389505,node,Genpact Chowk,28.4505242,77.0986683,,,bus_stop,,platform
10899637071,node,Sector 42/43 Metro Station,28.4568919,77.0974669,,,bus_stop,,platform
10899699418,node,Sector 42/43 Metro Station,28.4580487,77.0964521,,,bus_stop,,platform
11037315936,node,Ambedkar Chowk/Indira Colony,28.4377669,77.0678043,,,bus_stop,,platform
11037315939,node,Ardee City Sector 52,28.4448367,77.0821298,,,bus_stop,,platform
11037384825,node,Sikanderpur Metro Station,28.4803227,77.0943651,,,bus_stop,,platform
11091626075,node,Samaspur T Point,28.4315737,77.0619368,,,bus_stop,,platform
11091626076,node,Mayfield Garden,28.4283365,77.0587858,,,bus_stop,,platform
11091626081,node,,28.4479568,77.0785841,,,bus_stop,,platform
11091626087,node,Sector 43/Sector 44 (A),28.4539232,77.0743257,,,bus_stop,,platform
11091626088,node,Sector 43/44 (B),28.4510923,77.0763290,,,bus_stop,,platform
11092799597,node,Fortis Memorial Research Institute,28.4570950,77.0740277,,,bus_stop,,platform
11331156866,node,Gold Souk,28.4499738,77.0775403,,,bus_stop,,platform
11598725342,node,,28.4396429,77.0423864,,,bus_stop,,platform
11610976828,node,Gymkhana Club Sector 29/Sector 30,28.4658412,77.0619343,,,bus_stop,,platform
11610978734,node,,28.4622659,77.0664828,,,bus_stop,,platform
11610980159,node,,28.4731109,77.0561446,,,bus_stop,,platform
11627309581,node,Samaspur T Point,28.4317945,77.0624515,,,bus_stop,,platform
11630824454,node,Sector 45/South City 1,28.4506049,77.0643698,,,bus_stop,,platform
11630877917,node,Fortis Memorial Research Institute / Millennium City Centre,28.4567614,77.0701711,,,bus_stop,,platform
