@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
391291052,node,Udhna Junction,21.1704484,72.8514242,stop,,,,stop_position
391345820,node,Bardoli,21.1338291,73.1053896,station,,,,station
414782961,node,Surat,21.2050293,72.8407427,station,,,,station
414849419,node,Madhi,21.1457123,73.2424025,station,,,,station
1065469730,node,Udhna Junction,21.1704282,72.8512486,stop,,,,stop_position
1523485478,node,Kosad,21.2611962,72.8674830,station,,,,station
1598977159,node,Vankal,21.4398176,73.2302637,station,,,,station
1600192524,node,Mota Miya Mangrol,21.4615072,73.1537192,station,,,,station
1600192526,node,Zankhvav,21.4514569,73.3167235,station,,,,station
2360855198,node,Surat,21.2052000,72.8408402,stop,,,,stop_position
4730516847,node,Udhna Junction,21.1704267,72.8509905,station,,,,station
4734513821,node,Harikunj soc,21.2214510,72.8801994,,,bus_stop,,
5333535305,node,Bus Stop,21.1479302,72.8133342,,,bus_stop,,
5333535310,node,Bus Stop,21.1490194,72.8182597,,,bus_stop,,
5333535315,node,Bus Stop,21.1495182,72.8231183,,,bus_stop,,
5333535325,node,Bus Stop,21.1512156,72.8372486,,,bus_stop,,
5333535406,node,Bus Stop,21.1501105,72.8280888,,,bus_stop,,
5333535722,node,,21.1463403,72.8062797,,,bus_stop,,platform
5341283853,node,Utran,21.2335705,72.8551871,station,,,,station
5351369951,node,Bhestan,21.1225832,72.8630342,station,,,,station
5568408848,node,Sachin,21.0778781,72.8744643,station,,,,station
5571100123,node,Gothangam,21.2908388,72.8790724,station,,,,station
5571100124,node,Sayan,21.3174619,72.8900005,station,,,,station
5571414263,node,Kim,21.3996957,72.9265900,station,,,,station
5571414299,node,Hathuran,21.5007279,72.9695268,station,,,,station
5696119551,node,Surat - Monument aux morts,45.9380212,3.2510197,,,bus_stop,,platform
5696119904,node,Surat - Monument aux morts,45.9378283,3.2512383,,,bus_stop,,platform
5746301709,node,Surat,21.2053209,72.8412199,stop,,,,stop_position
5746301821,node,Kosamba Junction,21.4647981,72.9549409,station,,,,station
6177088576,node,Mangrolia,21.1542737,73.1971369,halt,,,,halt
6177088577,node,Timbarva,21.1518908,73.1675720,station,,,,station
6177088578,node,Gangadhara,21.1403084,73.0466366,station,,,,station
6177088579,node,Bagumra,21.1488774,72.9976958,halt,,,,halt
6177088580,node,Chalthan,21.1573690,72.9563212,station,,,,station
6177088581,node,Niyol,21.1602786,72.9031608,station,,,,station
6670834985,node,Surat,21.2052025,72.8408989,stop,,,,stop_position
6670835165,node,Kudsad,21.3745059,72.9152571,halt,,,,halt
6684999217,node,Anaval,20.8430733,73.2677930,halt,,,,halt
6689898446,node,Limbara,21.4395307,73.0385749,station,,,,station
6689911258,node,Kosadi,21.4621171,73.1010376,halt,,,,halt
6689918574,node,Velachha,21.4331608,73.0123660,station,,,,station
6689919741,node,Asarma,21.4589330,73.0643576,station,,,,station
6689925613,node,Simodara,21.4596673,73.0912591,station,,,,station
6689929511,node,Kevedi,21.4911577,73.4561587,station,,,,station
6689940611,node,Chitalda,21.4740651,73.3979950,station,,,,station
6689946193,node,Umarpada,21.4583979,73.4750771,station,,,,station
7553741861,node,Surat,21.2052789,72.8410882,stop,,,,stop_position
7944681327,node,Adajan Gam,21.1901059,72.7890318,station,subway,,,station
7944685514,node,Ugat Vaarigruh,21.2185073,72.7811788,station,subway,,,station
7944685542,node,Maskati Hospital,21.1980723,72.8334970,station,subway,,,station
7944685634,node,Varaccha Chopati Garden,21.2234482,72.8867155,station,subway,,,station
7944685690,node,Kadarsha Ni Nal,21.1870443,72.8193423,station,subway,,,station
