Comparative statement of Accidents for the years 2025 and 2026 Hyderabad City.

S.No,Month,106 BNS U/S 304 A,,125(b) BNS U/S 338,,125(a) BNS U/S 337,,TOTAL CASES REPORTED,,Change %,NO. OF PERSONS INJURED,,Change %,NO. OF PERSONS KILLED,,Change %
,,2025,2026,2025,2026,2025,2026,2025,2026,,2025,2026,,2025,2026,
1,January,25,22,29,7,169,236,223,265,19%,247,292,18%,26,24,-8%
2,February,25,31,16,11,173,259,214,301,41%,228,337,48%,25,32,28%
3,March,21,,20,,180,,221,,-100%,246,,-100%,23,,-100%
4,April,29,,29,,151,,209,,-100%,224,,-100%,30,,-100%
5,May,21,,35,,161,,217,,-100%,224,,-100%,21,,-100%
6,June,26,,19,,163,,208,,-100%,236,,-100%,27,,-100%
7,July,26,,16,,166,,208,,-100%,218,,-100%,26,,-100%
8,August,32,,13,,189,,234,,-100%,265,,-100%,32,,-100%
9,September,22,,6,,192,,220,,-100%,247,,-100%,22,,-100%
10,October,34,,13,,208,,255,,-100%,279,,-100%,35,,-100%
11,November,18,,10,,245,,273,,-100%,305,,-100%,18,,-100%
12,December,19,,15,,285,,319,,-100%,378,,-100%,20,,-100%
,Total,298,53,221,18,2282,495,2801,566,-80%,3097,629,-80%,305,56,-82%
