@id,@type,@lat,@lon,highway,crossing,traffic_calming,traffic_signals
249350111,node,28.4616968,77.0870179,traffic_signals,,,signal
250880649,node,28.4500176,77.0638256,traffic_signals,,,signal
251691410,node,28.4827111,77.1075305,traffic_signals,,,signal
254569281,node,28.4917574,77.0908564,traffic_signals,,,signal
266370737,node,28.4369780,77.0672279,traffic_signals,,,signal
266370738,node,28.4277636,77.0583262,traffic_signals,,,signal
266437400,node,28.4678680,77.0729926,traffic_signals,,,signal
266437558,node,28.4678722,77.0731704,traffic_signals,,,signal
266439353,node,28.4596789,77.0317789,traffic_signals,,,signal
266589897,node,28.4597303,77.0316838,traffic_signals,,,signal
266595952,node,28.4586699,77.0740777,traffic_signals,,,signal
266726196,node,28.4595952,77.0496180,traffic_signals,,,signal
267085311,node,28.4679098,77.1078588,traffic_signals,,,signal
271335480,node,28.4825512,77.1078792,traffic_signals,,,signal
313349230,node,28.4679660,77.0941899,traffic_signals,,,signal
314356290,node,28.4633050,77.0954085,traffic_signals,,,signal
317145283,node,28.4679966,77.0797363,traffic_signals,,,signal
317149147,node,28.4277680,77.0584141,traffic_signals,,,signal
412745817,node,28.4680094,77.0945239,traffic_signals,,,signal
416802461,node,28.4173609,77.0460774,,,hump,
416802477,node,28.4163969,77.0493583,,,hump,
416802695,node,28.4179452,77.0531596,,,hump,
1358732547,node,28.4958051,77.0900949,,,bump,
1669811394,node,28.4254485,77.0501417,mini_roundabout,,,
1804908358,node,28.4521880,77.0416024,traffic_signals,,,signal
1806511559,node,28.4590179,77.0742163,traffic_signals,,,signal
1806511598,node,28.4583271,77.0712155,crossing,unmarked,,
1817726734,node,28.4473853,77.0798967,traffic_signals,,,signal
1817741097,node,28.4500181,77.0962540,traffic_signals,traffic_signals,,signal
1868728937,node,28.4278089,77.0583734,traffic_signals,,,signal
1868729042,node,28.4499964,77.0994725,traffic_signals,,,signal
1868729046,node,28.4533794,77.0983494,traffic_signals,,,signal
1868729053,node,28.4629251,77.0951631,traffic_signals,,,signal
1868729059,node,28.4631694,77.0957342,traffic_signals,,,signal
1868729071,node,28.4680145,77.1081488,traffic_signals,,,signal
1868768392,node,28.4677706,77.1081561,traffic_signals,,,signal
1868768393,node,28.4680702,77.1078408,traffic_signals,,,signal
2006489422,node,28.4292213,77.0151088,crossing,unmarked,,
2006489473,node,28.4297663,77.0143008,crossing,uncontrolled,,
2006489545,node,28.4303497,77.0160810,crossing,unmarked,,
2008318575,node,28.4516299,77.0420417,traffic_signals,,,signal
2008318580,node,28.4517923,77.0421067,traffic_signals,,,signal
2008318585,node,28.4520118,77.0415582,traffic_signals,,,signal
2334515032,node,28.4971978,77.0927730,,,yes,
2345064571,node,28.4790827,77.0791411,,,bump,
2345064711,node,28.4960307,77.0857168,,,hump,
2345064723,node,28.4979162,77.0887996,crossing,unmarked,,
2622332703,node,28.4791555,77.0934368,crossing,traffic_signals,,
2726705281,node,28.3939999,77.0659928,mini_roundabout,,,
2745341140,node,28.4265848,77.0572080,traffic_signals,,,signal
3503688487,node,28.4265129,77.0570634,traffic_signals,,,signal
3635357270,node,28.5257173,77.0297777,,,rumble_strip,
3644802033,node,28.4264812,77.0571008,traffic_signals,,,signal
3736028802,node,28.3611838,77.0711088,crossing,uncontrolled,,
4162190645,node,28.4679638,77.0827604,traffic_signals,,,signal
4162645209,node,28.4748950,77.0935526,,,bump,
4218674876,node,28.4521428,77.0803778,crossing,pavement,,
5228465981,node,28.4983933,77.0884346,crossing,marked,,
5490216816,node,28.4500842,77.0964673,traffic_signals,,,signal
5490216925,node,28.4499621,77.0965334,traffic_signals,traffic_signals,,signal
6088400755,node,28.4360145,77.0103267,crossing,informal,,
6089341161,node,28.4031368,77.0477154,crossing,zebra,,
6095157214,node,28.4631065,77.0947664,traffic_signals,,,signal
6110289594,node,28.4694305,77.0292478,,,bump,
6110289595,node,28.4683900,77.0325380,,,bump,
6110289596,node,28.4682318,77.0327599,,,bump,
6110289597,node,28.4681596,77.0328568,,,bump,
6169030313,node,28.4786030,77.0321912,,,bump,
6321786425,node,28.4475044,77.0793562,traffic_signals,,,signal
6321786427,node,28.4470592,77.0796492,traffic_signals,,,signal
6436042656,node,28.4792341,77.0934986,crossing,traffic_signals,,
6911979903,node,28.4640153,77.1045711,,,bump,
6911979909,node,28.4640052,77.1032021,,,bump,
6911979939,node,28.4642043,77.1036340,,,bump,
6946984234,node,28.4499835,77.0964449,traffic_signals,traffic_signals,,signal
7131372270,node,28.4683769,77.0441887,traffic_signals,,,signal
7131372272,node,28.4682623,77.0441371,traffic_signals,,,signal
7131372273,node,28.4683188,77.0438684,traffic_signals,,,signal
7137207882,node,28.4062229,77.0355582,crossing,marked,,
7142074858,node,28.4646067,77.0734325,traffic_signals,,,signal
7142074859,node,28.4644515,77.0734988,traffic_signals,,,signal
7142074860,node,28.4646646,77.0736308,traffic_signals,,,signal
7153678953,node,28.4673810,77.0424866,,,hump,
7452613249,node,28.4299677,77.0901976,crossing,unmarked,,
7485147009,node,28.4707716,77.0890739,crossing,unmarked,,
8932846635,node,28.4500738,77.0012516,,,bump,
8932846668,node,28.4497189,77.0049840,,,bump,
9591484096,node,28.4129351,77.1124266,,,bump,
9892850083,node,28.4015751,77.0446268,traffic_signals,,,signal
9892914438,node,28.4012181,77.0447044,traffic_signals,,,signal
9892914439,node,28.4012625,77.0450360,traffic_signals,,,signal
9892914440,node,28.4016072,77.0449487,traffic_signals,,,signal
9903465388,node,28.4439446,77.0581038,traffic_signals,,,
9910959381,node,28.4680471,77.0941718,traffic_signals,,,signal
9910959383,node,28.4680893,77.0945096,traffic_signals,,,signal
9911458888,node,28.4336531,77.0712543,crossing,unmarked,,
10127538925,node,28.4706693,77.0891347,crossing,unmarked,,
11024391193,node,28.4561657,77.0894502,crossing,unmarked,,
11093552200,node,28.4414004,77.0918914,crossing,unmarked,,
11093572418,node,28.4479790,77.0880361,crossing,unmarked,,
11190660789,node,28.4464157,77.0477058,traffic_signals,,,signal
11283899256,node,28.4622929,77.0896882,crossing,unmarked,,
11566140414,node,28.4185504,77.0442848,crossing,marked,,
11566140415,node,28.4184643,77.0443184,crossing,marked,,
11566215682,node,28.4173445,77.0410602,crossing,marked,,
11566215683,node,28.4174242,77.0410204,crossing,marked,,
11906676618,node,28.4298477,77.0811105,crossing,unmarked,,
11920155534,node,28.4437880,77.0369528,,,table,
11920155535,node,28.4478883,77.0374424,,,table,
11920155536,node,28.4454062,77.0365146,crossing,uncontrolled,,
11920155541,node,28.4406554,77.0415212,crossing,uncontrolled,,
11920234108,node,28.4501426,77.0694119,traffic_signals,,,signal
11920234109,node,28.4525027,77.0665559,traffic_signals,,,signal
11920234110,node,28.4497027,77.0860842,traffic_signals,,,signal
11920234111,node,28.4496735,77.0862487,traffic_signals,,,signal
11920234112,node,28.4459456,77.0758736,traffic_signals,,,signal
11920234113,node,28.4459122,77.0761855,traffic_signals,,,signal
11920234114,node,28.4460392,77.0759786,traffic_signals,,,signal
11920234115,node,28.4496386,77.0862483,traffic_signals,,,signal
11920234116,node,28.4501255,77.0694960,traffic_signals,,,signal
11920234117,node,28.4502568,77.0693976,traffic_signals,,,signal
11920234118,node,28.4502584,77.0695251,traffic_signals,,,signal
11920234119,node,28.4491020,77.0718244,traffic_signals,,,signal
11920234120,node,28.4492831,77.0717328,traffic_signals,,,signal
11920234121,node,28.4492965,77.0718663,traffic_signals,,,signal
11920234122,node,28.4497424,77.0861427,traffic_signals,,,signal
11920234123,node,28.4524499,77.0663051,traffic_signals,,,signal
11920234124,node,28.4523428,77.0665385,traffic_signals,,,signal
11920234125,node,28.4612520,77.0675885,traffic_signals,,,signal
11920234126,node,28.4611430,77.0676428,traffic_signals,,,signal
11920234127,node,28.4588827,77.0739253,traffic_signals,,,signal
11920272264,node,28.4710199,77.0724841,traffic_signals,,,signal
11920272266,node,28.4982997,77.0883646,traffic_signals,,,signal
11920297969,node,28.4710792,77.0727056,traffic_signals,,,signal
11920297970,node,28.4708755,77.0725560,traffic_signals,,,signal
12135474130,node,28.4471705,77.0793171,crossing,uncontrolled,,
12135474131,node,28.4474620,77.0793987,crossing,uncontrolled,,
12135474132,node,28.4471859,77.0797203,crossing,uncontrolled,,
12135474133,node,28.4473265,77.0797080,crossing,uncontrolled,,
12135474134,node,28.4459478,77.0758635,crossing,uncontrolled,,
12135474135,node,28.4461408,77.0758488,crossing,uncontrolled,,
12135478177,node,28.4711979,77.0641391,crossing,uncontrolled,,
12135478178,node,28.4614560,77.0678711,crossing,uncontrolled,,
12135478179,node,28.4623955,77.0692620,crossing,uncontrolled,,
12135478180,node,28.4624391,77.0689706,crossing,uncontrolled,,
12135478181,node,28.4621490,77.0689618,crossing,uncontrolled,,
12135478182,node,28.4656619,77.0647098,crossing,uncontrolled,,
12135478183,node,28.4658151,77.0645075,crossing,uncontrolled,,
12135478184,node,28.4684046,77.0611225,crossing,uncontrolled,,
12135478185,node,28.4685096,77.0606709,crossing,uncontrolled,,
12135478186,node,28.4708057,77.0631845,crossing,uncontrolled,,
12135478187,node,28.4707753,77.0636114,crossing,uncontrolled,,
12135478188,node,28.4703520,77.0630828,crossing,uncontrolled,,
12135478189,node,28.4609211,77.0678568,crossing,uncontrolled,,
12135478190,node,28.4713475,77.0643250,crossing,uncontrolled,,
12135478192,node,28.4725861,77.0658620,crossing,uncontrolled,,
12135478193,node,28.4727761,77.0660517,crossing,uncontrolled,,
12135478194,node,28.4760495,77.0701181,crossing,uncontrolled,,
12135478195,node,28.4759947,77.0704563,crossing,uncontrolled,,
12135478196,node,28.4763309,77.0706289,crossing,uncontrolled,,
12135478197,node,28.4732048,77.0556208,crossing,uncontrolled,,
12135478198,node,28.4737078,77.0553620,crossing,uncontrolled,,
12135478199,node,28.4733171,77.0552204,crossing,uncontrolled,,
12135481490,node,28.4591283,77.0742126,crossing,uncontrolled,,
12135481491,node,28.4588910,77.0743494,crossing,uncontrolled,,
12135481492,node,28.4586533,77.0742285,crossing,uncontrolled,,
12135481493,node,28.4682140,77.0732115,crossing,uncontrolled,,
12135481494,node,28.4680870,77.0731483,crossing,uncontrolled,,
12135481496,node,28.4677441,77.0732835,crossing,uncontrolled,,
12135481497,node,28.4678706,77.0731037,crossing,uncontrolled,,
12135488878,node,28.4709155,77.0724859,crossing,uncontrolled,,
12135488879,node,28.4711214,77.0724214,crossing,uncontrolled,,
12135488880,node,28.4708380,77.0727450,crossing,uncontrolled,,
12135488881,node,28.4711374,77.0727015,crossing,uncontrolled,,
12137035931,node,28.4502328,77.0693427,crossing,uncontrolled,,
12137035932,node,28.4345563,77.0494471,crossing,uncontrolled,,
12137035933,node,28.4344524,77.0491844,crossing,uncontrolled,,
12137035934,node,28.4346934,77.0490698,crossing,uncontrolled,,
12137035935,node,28.4379023,77.0525133,crossing,uncontrolled,,
12137035936,node,28.4381861,77.0527823,crossing,uncontrolled,,
12137035937,node,28.4401168,77.0546152,crossing,uncontrolled,,
12137035938,node,28.4403916,77.0548783,crossing,uncontrolled,,
12137035939,node,28.4452312,77.0820288,crossing,uncontrolled,,
12137035940,node,28.4436460,77.0834711,crossing,uncontrolled,,
12137035941,node,28.4395331,77.0886820,crossing,uncontrolled,,
12137035942,node,28.4326884,77.0910846,crossing,uncontrolled,,
12137035943,node,28.4301182,77.0913456,crossing,uncontrolled,,
12137035944,node,28.4298096,77.0913372,crossing,uncontrolled,,
12137035945,node,28.4300374,77.0914879,crossing,uncontrolled,,
12137035946,node,28.4296745,77.0865668,crossing,uncontrolled,,
12137035947,node,28.4296623,77.0863754,crossing,uncontrolled,,
12137035948,node,28.4492210,77.0716835,crossing,uncontrolled,,
12137035949,node,28.4491394,77.0718844,crossing,uncontrolled,,
12137035950,node,28.4500968,77.0695419,crossing,uncontrolled,,
12137035951,node,28.4437417,77.0583722,crossing,uncontrolled,,
12137035952,node,28.4522984,77.0665976,crossing,uncontrolled,,
12137035953,node,28.4525091,77.0665594,crossing,uncontrolled,,
12137035954,node,28.4522904,77.0663545,crossing,uncontrolled,,
12137035955,node,28.4524965,77.0667945,crossing,uncontrolled,,
12137035956,node,28.4520287,77.0663734,crossing,uncontrolled,,
12137035957,node,28.4498924,77.0639933,crossing,uncontrolled,,
12137035958,node,28.4497114,77.0638818,crossing,uncontrolled,,
12137035959,node,28.4499559,77.0637422,crossing,uncontrolled,,
12137035960,node,28.4468124,77.0610574,crossing,uncontrolled,,
12137035961,node,28.4465858,77.0608410,crossing,uncontrolled,,
12137035962,node,28.4436435,77.0580633,crossing,uncontrolled,,
12137035963,node,28.4439250,77.0583455,crossing,uncontrolled,,
12137035964,node,28.4347000,77.0494265,crossing,uncontrolled,,
12140568044,node,28.4370021,77.0673685,crossing,uncontrolled,,
12140568045,node,28.4370340,77.0671534,crossing,uncontrolled,,
12140568047,node,28.4368544,77.0673840,crossing,uncontrolled,,
12140568091,node,28.4368049,77.0671826,crossing,uncontrolled,,
12140614156,node,28.4630522,77.0949680,crossing,uncontrolled,,
12140614157,node,28.4632805,77.0949070,crossing,uncontrolled,,
12140614158,node,28.4629255,77.0949884,crossing,uncontrolled,,
12140614159,node,28.4629744,77.0949109,crossing,uncontrolled,,
12140614160,node,28.4629671,77.0951490,crossing,uncontrolled,,
12140614161,node,28.4632309,77.0950829,crossing,uncontrolled,,
12140614162,node,28.4632719,77.0953456,crossing,uncontrolled,,
12140614163,node,28.4630148,77.0954154,crossing,uncontrolled,,
12140614164,node,28.4631485,77.0955957,crossing,uncontrolled,,
12140614165,node,28.4631672,77.0957199,crossing,uncontrolled,,
12140614166,node,28.4630046,77.0956367,crossing,uncontrolled,,
12140614167,node,28.4633087,77.0955584,crossing,uncontrolled,,
12140614168,node,28.4678730,77.0942044,crossing,uncontrolled,,
12140614169,node,28.4681034,77.0941592,crossing,uncontrolled,,
12140614170,node,28.4681356,77.0940063,crossing,uncontrolled,,
12140614172,node,28.4678819,77.0945447,crossing,uncontrolled,,
12140614173,node,28.4677243,77.0945704,,,rumble_strip,
12140614174,node,28.4676792,77.0942209,,,rumble_strip,
12140614175,node,28.4683336,77.0944048,,,rumble_strip,
12140614177,node,28.4726665,77.0940344,,,rumble_strip,
12140614178,node,28.4729881,77.0940323,,,rumble_strip,
12140614179,node,28.4759189,77.0936739,,,rumble_strip,
12140614180,node,28.4762442,77.0936683,,,rumble_strip,
12140614181,node,28.4771483,77.0939602,,,rumble_strip,
12140614182,node,28.4774703,77.0939476,,,rumble_strip,
12140614183,node,28.4784482,77.0940093,crossing,uncontrolled,,
12140614189,node,28.4681298,77.0945024,crossing,uncontrolled,,
12141240322,node,28.4858533,77.0951991,,,rumble_strip,
12141240323,node,28.4861787,77.0950348,,,rumble_strip,
12141240324,node,28.4864381,77.0948317,,,rumble_strip,
12141240325,node,28.4866206,77.0946390,,,rumble_strip,
12141240326,node,28.4869486,77.0941578,,,rumble_strip,
12141240327,node,28.4870946,77.0939374,,,rumble_strip,
