@id,@type,@lat,@lon,highway,crossing,traffic_calming,traffic_signals
383072042,node,-33.3343864,149.1543248,give_way,,,
483033546,node,-33.3685637,149.1844946,stop,,,
528561176,node,-37.8163211,147.6481415,crossing,unmarked,,
528569273,node,-37.8236913,147.6432954,crossing,unmarked,,
583304473,node,26.8429582,80.9421736,traffic_signals,,,signal
600229036,node,-37.8164392,147.6476624,crossing,unmarked,,
601357574,node,-37.8205473,147.6485886,crossing,unmarked,,
602511657,node,26.8406388,80.9373079,traffic_signals,,,signal
602511661,node,26.8430322,80.9420498,traffic_signals,,,signal
1985694288,node,26.8727298,80.9958258,traffic_signals,,,signal
1985694294,node,26.8730893,80.9952418,traffic_signals,,,signal
2022546184,node,-37.8233488,147.6460965,give_way,,,
2194757250,node,26.7750494,80.9153825,crossing,unmarked,,
2195005653,node,26.7717785,80.9074146,crossing,uncontrolled,,
2195005688,node,26.7721501,80.9081332,crossing,unmarked,,
2195005693,node,26.7722710,80.9075861,crossing,uncontrolled,,
2195005696,node,26.7723090,80.9110627,crossing,unmarked,,
2195005716,node,26.7726357,80.9104988,crossing,uncontrolled,,
2195005735,node,26.7727822,80.9063638,crossing,uncontrolled,,
2195005738,node,26.7728332,80.9093054,crossing,unmarked,,
2195005742,node,26.7728436,80.9088000,crossing,uncontrolled,,
2195005758,node,26.7729492,80.9106306,crossing,unmarked,,
2195005777,node,26.7731809,80.9082990,crossing,unmarked,,
2195005787,node,26.7732352,80.9079142,crossing,unmarked,,
2195006030,node,26.7739705,80.8999072,crossing,unmarked,,
2195006046,node,26.7742406,80.9100837,crossing,unmarked,,
2195006049,node,26.7742692,80.9091661,crossing,uncontrolled,,
2196599187,node,26.8393637,80.9345627,traffic_signals,,,signal
2196599312,node,26.8462679,80.9461812,traffic_signals,,,
2196599314,node,26.8464242,80.9459389,traffic_signals,,,
2198096886,node,26.8405098,80.9373759,traffic_signals,,,signal
2198525296,node,26.7719705,80.9169863,crossing,uncontrolled,,
2198525361,node,26.7722832,80.9177359,crossing,uncontrolled,,
2198525450,node,26.7729279,80.9187260,crossing,unmarked,,
2198525490,node,26.7732961,80.9178697,crossing,unmarked,,
2198525516,node,26.7738169,80.9181388,crossing,unmarked,,
2198525518,node,26.7738430,80.9176008,crossing,uncontrolled,,
2207518224,node,26.8395300,80.9343130,traffic_signals,,,signal
2207518228,node,26.8396490,80.9341383,traffic_signals,,,signal
2207518739,node,26.8468923,80.9463964,traffic_signals,,,
2207518742,node,26.8469140,80.9460970,traffic_signals,,,
2207519162,node,26.8513111,80.9549196,mini_roundabout,,,
2216473043,node,26.8880113,80.9957114,crossing,unmarked,,
2216473192,node,26.8891668,80.9956916,crossing,uncontrolled,,
2216473294,node,26.8909062,80.9958750,crossing,uncontrolled,,
2216473295,node,26.8909097,80.9960009,traffic_signals,,,signal
