@id,@type,@lat,@lon,highway,crossing,traffic_calming,traffic_signals
1054293060,node,17.7317421,83.3340232,,,bump,
1054293170,node,17.7347357,83.3121419,,,rumble_strip,
1054293379,node,17.7389071,83.3037901,,,rumble_strip,
1133904084,node,17.7373107,83.2706234,,,rumble_strip,
1133988005,node,17.7365402,83.3082038,,,rumble_strip,
1133988124,node,17.7351024,83.2799148,,,rumble_strip,
1133988125,node,17.7352696,83.2792894,,,rumble_strip,
1133988199,node,17.7385124,83.3041184,,,rumble_strip,
1135097166,node,17.7559429,83.3328693,,,rumble_strip,
1139299468,node,17.7182729,83.3181169,crossing,uncontrolled,table,
1139299737,node,17.7318362,83.3341775,,,bump,
1159654084,node,17.7710291,83.2366476,,,bump,
1159654096,node,17.7715107,83.2385690,,,bump,
1159654130,node,17.7721191,83.2419708,,,bump,
1159654214,node,17.7737538,83.2465168,,,bump,
1159654244,node,17.7768011,83.2502684,,,bump,
1159654259,node,17.7798426,83.2524703,,,bump,
1474456071,node,17.7522194,83.3325725,,informal,,
1585581954,node,17.7347190,83.2898394,,,bump,
1587503001,node,17.7350710,83.2920150,,,bump,
1587503029,node,17.7366651,83.3000355,,,rumble_strip,
1590431653,node,17.7460899,83.3113680,,,bump,
2279621691,node,17.8244015,83.3562643,,,rumble_strip,
2279621778,node,17.8470383,83.3600624,,,rumble_strip,
2279621874,node,17.8692666,83.3679472,,,rumble_strip,
2279685119,node,17.7918939,83.3528984,,,rumble_strip,
2279704898,node,17.7351437,83.3194050,traffic_signals,,,signal
2279704917,node,17.7368330,83.3077425,traffic_signals,,,signal
2279704923,node,17.7379354,83.3048067,traffic_signals,,,signal
2279705005,node,17.7474866,83.2465265,traffic_signals,,,signal
2279803494,node,17.6852321,83.2035381,traffic_signals,,,signal
2843826165,node,17.7223926,83.3336553,crossing,uncontrolled,,
2900588907,node,17.7498614,83.2542645,,,bump,
3270071330,node,17.7607927,83.3142228,,,rumble_strip,
3316933624,node,17.8143865,83.1797036,,,rumble_strip,
3760103668,node,17.7351601,83.2901605,traffic_signals,,,signal
3760236581,node,17.7461044,83.3119806,crossing,uncontrolled,,
3762201252,node,17.7343078,83.3137683,,,rumble_strip,
3762201643,node,17.7368715,83.3131939,,,bump,
3763334823,node,17.7346775,83.2715982,crossing,uncontrolled,,
3818944993,node,17.7714143,83.2356193,crossing,uncontrolled,bump,
3921520399,node,17.7251406,83.3169888,traffic_signals,,,
3921524561,node,17.7276549,83.2951582,,,rumble_strip,
3926488090,node,17.7606523,83.3147746,traffic_signals,,,signal
